ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
6043,Kings XI Punjab,Mayank Agarwal,c Curran b Chawla,,1,,,,,,26,19,3,0,136.84,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
6044,Kings XI Punjab,Mandeep Singh,c Rayudu b Jadeja,,1,,,,,,27,16,0,2,168.75,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
6045,Kings XI Punjab,Nicholas Pooran,c Jadeja b Thakur,,1,,,,,,33,17,1,3,194.11,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
6046,Kings XI Punjab,Glenn Maxwell,not out,,,,,,,1,11,7,1,0,157.14,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
6047,Kings XI Punjab,Sarfaraz Khan,not out,,,,,,,1,14,9,2,0,155.55,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kings-xi-punjab-vs-chennai-super-kings-18th-match-1216513/full-scorecard
6048,Delhi Capitals,Prithvi Shaw,c  de Villiers b Mohammed Siraj,,1,,,,,,42,23,5,2,182.6,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard
6049,Delhi Capitals,Shikhar Dhawan,c Ali b Udana,,1,,,,,,32,28,3,0,114.28,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard
6050,Delhi Capitals,Shreyas Iyer,c Padikkal b Ali,,1,,,,,,11,13,1,0,84.61,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard
6051,Delhi Capitals,Rishabh Pant,b Mohammed Siraj,,,1,,,,,37,25,3,2,148,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard
6052,Delhi Capitals,Marcus Stoinis,not out,,,,,,,1,53,26,6,2,203.84,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/royal-challengers-bangalore-vs-delhi-capitals-19th-match-1216519/full-scorecard
